"Family","Variable","Overall (N=397)","Continued (n=304)","Discontinued (n=93)","p (uncorrected)","p (FDR-corrected)","Sig (FDR)","Effect Size [95% CI]","Interpretation"
"Sleep_Adverse","safety_1","1.98 (0.85)","1.94 (0.76)","2.12 (1.07)","0.153","0.307","","d = +0.21 [-0.02, 0.45]","Small"
"Sleep_Adverse","safety_2","3.41 (0.98)","3.44 (0.93)","3.32 (1.15)","0.368","0.603","","d = -0.12 [-0.36, 0.11]","Negligible"
"Sleep_Adverse","safety_3","1.62 (1.02)","1.64 (1.02)","1.55 (1.01)","0.493","0.683","","d = -0.09 [-0.32, 0.14]","Negligible"
"Sleep_Adverse","safety_4","3.30 (1.37)","3.31 (1.37)","3.29 (1.36)","0.897","0.897","","d = -0.02 [-0.25, 0.22]","Negligible"
"Sleep_Adverse","adls_1","1.91 (0.93)","1.83 (0.86)","2.15 (1.10)","0.017","0.061","","d = +0.34 [0.11, 0.57]","Small"
"Sleep_Adverse","adls_2","1.84 (0.95)","1.75 (0.84)","2.12 (1.19)","0.008","0.037","*","d = +0.39 [0.16, 0.62]","Small"
"Sleep_Adverse","dependence_1","3.61 (1.20)","3.66 (1.17)","3.43 (1.29)","0.139","0.307","","d = -0.19 [-0.42, 0.04]","Negligible"
"Sleep_Adverse","dependence_2","3.42 (1.17)","3.48 (1.16)","3.19 (1.17)","0.043","0.128","","d = -0.25 [-0.49, -0.02]","Small"
"Sleep_Adverse","dependence_3","2.96 (1.16)","2.95 (1.17)","2.99 (1.11)","0.806","0.897","","d = +0.03 [-0.20, 0.26]","Negligible"
"Sleep_Adverse","stop_wdl_exp_combined","","","","< .001","< .001","***","V = 0.53 [0.45, 0.60]","Large"
"Sleep_Adverse","    No withdrawal","162 (40.8)","81 (26.6)","81 (87.1)","","","","",""
"Sleep_Adverse","    Insomnia only","123 (31.0)","119 (39.1)","4 (4.3)","","","","",""
"Sleep_Adverse","    Anxiety only","3 (0.8)","2 (0.7)","1 (1.1)","","","","",""
"Sleep_Adverse","    Other MH symptoms only","1 (0.3)","1 (0.3)","0 (0.0)","","","","",""
"Sleep_Adverse","    Physical symptoms only","1 (0.3)","1 (0.3)","0 (0.0)","","","","",""
"Sleep_Adverse","    Multiple symptoms","107 (27.0)","100 (32.9)","7 (7.5)","","","","",""
"Sleep_Adverse","wdl_symptom_count","0.95 (1.00)","1.18 (0.99)","0.22 (0.61)","< .001","< .001","***","d = -1.06 [-1.30, -0.81]","Large"
"Behavioural","motivation_1","3.29 (1.21)","3.40 (1.19)","2.93 (1.21)","0.002","0.004","**","d = -0.39 [-0.63, -0.16]","Small"
"Behavioural","motivation_2","2.51 (1.16)","2.61 (1.18)","2.18 (1.06)","0.002","0.004","**","d = -0.37 [-0.60, -0.14]","Small"
"Behavioural","motivation_3","2.60 (1.24)","2.55 (1.20)","2.77 (1.36)","0.181","0.190","","d = +0.18 [-0.05, 0.41]","Negligible"
"Behavioural","desires_1","2.71 (1.12)","2.63 (1.08)","2.96 (1.21)","0.028","0.045","*","d = +0.29 [0.06, 0.53]","Small"
"Behavioural","desires_2","2.42 (0.91)","2.38 (0.89)","2.54 (0.98)","0.190","0.190","","d = +0.17 [-0.06, 0.41]","Negligible"
"Behavioural","desires_3","3.52 (1.12)","3.45 (1.09)","3.75 (1.18)","0.043","0.057","","d = +0.27 [0.04, 0.51]","Small"
"Behavioural","capability_1","3.11 (1.18)","2.93 (1.13)","3.67 (1.19)","< .001","< .001","***","d = +0.65 [0.41, 0.88]","Medium"
"Behavioural","capability","3.06 (1.26)","3.21 (1.22)","2.58 (1.28)","< .001","< .001","***","d = -0.52 [-0.75, -0.28]","Medium"
"Personality","BFI_Extraversion","3.21 (1.04)","3.13 (1.03)","3.47 (1.03)","0.010","0.083","","d = +0.32 [0.09, 0.56]","Small"
"Personality","BFI_Agreeableness","3.83 (0.84)","3.80 (0.85)","3.92 (0.82)","0.288","0.547","","d = +0.14 [-0.09, 0.37]","Negligible"
"Personality","BFI_Conscientiousness","4.19 (0.81)","4.19 (0.80)","4.18 (0.85)","0.903","0.946","","d = -0.02 [-0.25, 0.22]","Negligible"
"Personality","BFI_Neuroticism","2.92 (1.04)","2.91 (1.06)","2.93 (0.98)","0.853","0.946","","d = +0.02 [-0.21, 0.25]","Negligible"
"Personality","BFI_Openness","3.57 (0.90)","3.54 (0.87)","3.66 (0.97)","0.320","0.547","","d = +0.14 [-0.10, 0.37]","Negligible"
"Personality","SURPS_Impulsivity","2.01 (0.48)","2.00 (0.48)","2.03 (0.48)","0.576","0.816","","d = +0.07 [-0.16, 0.30]","Negligible"
"Personality","SURPS_Sensation_Seeking","1.98 (0.49)","1.96 (0.49)","2.04 (0.49)","0.199","0.547","","d = +0.16 [-0.07, 0.39]","Negligible"
"Personality","SURPS_Hopelessness","2.03 (0.49)","2.04 (0.48)","1.98 (0.52)","0.316","0.547","","d = -0.13 [-0.36, 0.10]","Negligible"
"Personality","SURPS_Anxiety_Sensitivity","2.61 (0.49)","2.62 (0.48)","2.56 (0.52)","0.322","0.547","","d = -0.13 [-0.36, 0.10]","Negligible"
"Personality","DBAS_Consequences","6.16 (1.93)","6.22 (1.91)","5.94 (1.97)","0.237","0.547","","d = -0.14 [-0.38, 0.09]","Negligible"
"Personality","DBAS_Worry_Helplessness","5.58 (1.89)","5.62 (1.86)","5.43 (2.00)","0.435","0.672","","d = -0.10 [-0.33, 0.13]","Negligible"
"Personality","DBAS_Expectations","6.24 (2.28)","6.24 (2.30)","6.26 (2.21)","0.946","0.946","","d = +0.01 [-0.22, 0.24]","Negligible"
"Personality","DBAS_Medications","5.67 (1.94)","5.97 (1.75)","4.69 (2.20)","< .001","< .001","***","d = -0.69 [-0.93, -0.45]","Medium"
"Personality","DBAS_Total","5.93 (1.53)","6.03 (1.49)","5.62 (1.60)","0.032","0.179","","d = -0.27 [-0.50, -0.04]","Small"
"Personality","CISS_Task","3.70 (0.64)","3.71 (0.65)","3.69 (0.63)","0.777","0.943","","d = -0.03 [-0.27, 0.20]","Negligible"
"Personality","CISS_Emotion","2.79 (0.80)","2.82 (0.80)","2.70 (0.79)","0.215","0.547","","d = -0.15 [-0.38, 0.08]","Negligible"
"Personality","CISS_Avoidance","2.83 (0.73)","2.82 (0.73)","2.86 (0.72)","0.655","0.857","","d = +0.06 [-0.18, 0.29]","Negligible"
