model,term,estimate,std.error,OR,OR_lower,OR_upper,OR_CI,statistic,p.value,sig
Model 2,DBAS_Medications,-0.4179971634904426,0.06983387080435452,0.6583640958782289,0.5741460053612301,0.754935641272732,"0.66 [0.57, 0.75]",-5.985593504640419,4.95036971574619e-9,***
Model 2,CISS_Emotion,-0.32785629379458425,0.17894327279241587,0.7204665477800203,0.5073343078002972,1.023136102741909,"0.72 [0.51, 1.02]",-1.832180046102743,0.06769895275715349,.
Model 2,BFI_Extraversion,0.3613190664554017,0.13119094111898755,1.4352213188100276,1.109805552290598,1.856055080743936,"1.44 [1.11, 1.86]",2.754146462961132,0.006164373342051199,**
Model 2,SURPS_Anxiety_Sensitivity,-0.03223576670688102,0.28631051035614163,0.9682782673873073,0.5524433598218493,1.6971202321934125,"0.97 [0.55, 1.70]",-0.11259023172702584,0.9104142667700785,
Model 2,SURPS_Hopelessness,0.10803574783696578,0.32480595464091716,1.1140875708954754,0.5894390699210106,2.105715720184803,"1.11 [0.59, 2.11]",0.332616278406603,0.7396054682738005,
Model 2,BFI_Openness,0.21256447446480542,0.14901976454264385,1.236845855969193,0.9235648461098729,1.6563944349676698,"1.24 [0.92, 1.66]",1.4264179997679265,0.1545602666999501,
Model 2,BFI_Neuroticism,0.2062139919238284,0.15314059158346607,1.2290161753932194,0.910335953819704,1.6592564020352139,"1.23 [0.91, 1.66]",1.3465665098429227,0.1789141798233047,
Model 2,BFI_Conscientiousness,-0.0679927723259515,0.15691791533937688,0.9342672261317956,0.686910077838785,1.2706979821438218,"0.93 [0.69, 1.27]",-0.4333015269728697,0.6650390362400774,
Model 2,age,-0.03225484325968959,0.022611631297572668,0.9682597961519904,0.9262846996134018,1.0121370170915964,"0.97 [0.93, 1.01]",-1.4264713074085948,0.15454489837446517,
Model 2,sex,-0.15276197510493386,0.28201929994321534,0.85833400235934465,0.4938518018813683,1.4918185107344986,"0.86 [0.49, 1.49]",-0.5416720598047458,0.5883586014691414,
Model 3,(Intercept),0.6334902569076062,1.016687372622703,1.8841753723012375,0.2568618227272384,13.821115165706729,"1.88 [0.26, 13.82]",0.6230924805069818,0.5335879671071898,
Model 3,DBAS_Medications,-0.40610413270136625,0.06757505976761839,0.6662407863596862,0.5835931208483123,0.7605929020615471,"0.67 [0.58, 0.76]",-6.009674783831552,4.270287082994289e-9,***
Model 3,CISS_Emotion,-0.21555335190747774,0.15288134593860753,0.8060952623909944,0.5973806345492139,1.0877312294188113,"0.81 [0.60, 1.09]",-1.409938868500264,0.1593547641484577,
Model 3,BFI_Extraversion,0.338917814510257,0.12234191605867017,1.4034279990554794,1.1042072525943234,1.7837323056023118,"1.40 [1.10, 1.78]",2.770250993516612,0.005869183194626307,**
Model 3,BFI_Conscientiousness,-0.05707625605406163,0.1509976287767722,0.9445220410964342,0.7025549863475289,1.2698250008230292,"0.94 [0.70, 1.27]",-0.3779943865108007,0.7056404219471648,
Model 4,(Intercept),3.4209075252443726,1.9921703435589633,30.597170129213243,0.616469550735971,1518.6262140577014,"30.60 [0.62, 1518.63]",1.7171762125185568,0.08674501312384034,.
Model 4,DBAS_Medications,-0.40616085719750417,0.06764935230638777,0.6662029952586241,0.5834750498035773,0.7606605133175331,"0.67 [0.58, 0.76]",-6.003913464802715,4.429191146437064e-9,***
Model 4,CISS_Emotion,-0.24245017607191788,0.15366212895994483,0.7847028435828006,0.5806379019679692,1.0604863214060416,"0.78 [0.58, 1.06]",-1.5778134645987982,0.11542343187565,
Model 4,BFI_Extraversion,0.32148992759844053,0.12305753913993947,1.379181114290153,1.0836090152160456,1.755375342309594,"1.38 [1.08, 1.76]",2.612517118783322,0.00933699009597717,**
Model 4,BFI_Conscientiousness,-0.05513256798386381,0.1518754202863776,0.9463596826421881,0.7027118258650883,1.2744863768701766,"0.95 [0.70, 1.27]",-0.3630117887404385,0.7167937683994827,
Model 4,age,-0.03208342656952762,0.022424514300036825,0.9684257862677953,0.9267833287105732,1.0119393330188828,"0.97 [0.93, 1.01]",-1.4307300546293185,0.15331250605585459,
Model 4,sex,-0.23638598785144838,0.27418419175962405,0.7894758870131642,0.46126295204821505,1.3512296476610868,"0.79 [0.46, 1.35]",-0.862143022668086,0.38914138068654813,
